name,capacity,storage
TRINITY LAKE,"2,447,650","2,267,013"
WHISKEYTOWN,"241,100","216,805"
LEWISTON,"14,660","14,135"
SONOMA(WARM SPRINGS),"381,000","251,026"
MENDOCINO (COYOTE),"122,400","88,996"
SHASTA,"4,552,000","4,273,151"
KESWICK,"23,772","20,919"
OROVILLE,"3,537,577","2,922,204"
ANTELOPE,"22,566","24,213"
FRENCHMAN,"55,477","57,846"
LAKE DAVIS,"83,000","89,843"
BULLARDS BAR,"966,000","829,840"
ENGLEBRIGHT,"70,000","73,318"
FOLSOM,"977,000","667,821"
UNION VALLEY,"266,369","237,293"
LOON LAKE,"69,306","58,244"
ICE HOUSE,"43,496","34,765"
NIMBUS,"9,000","7,463"
INDIAN VALLEY,"300,000","267,487"
BLACK BUTTE,"143,700","90,830"
NEW HOGAN,"317,000","224,147"
CAMANCHE,"417,120","290,950"
PARDEE,"203,795","189,635"
DONNELL'S,"64,320","57,358"
BEARDSLEY,"97,800","80,835"
TULLOCH,"67,000","57,972"
NEW MELONES,"2,400,000","1,877,113"
DON PEDRO,"2,030,000","1,707,580"
HETCH HETCHY,"360,000",----
CHERRY VALLEY,"273,500",----
MC CLURE (EXCHEQUER),"1,024,600","677,934"
EASTMAN (BUCHANAN),"150,000","129,714"
HENSLEY (HIDDEN),"90,000","51,489"
MILLERTON (FRIANT),"520,500","246,860"
SAN LUIS,"2,041,000","1,990,724"
PINE FLAT,"1,000,000","547,850"
KAWEAH (TERMINUS),"185,600","49,376"
SUCCESS,"82,300","51,144"
ISABELLA,"568,000","250,990"
STAMPEDE,"226,500","181,000"
INDEPENDENCE LAKE,"17,295","16,162"
DONNER LAKE,"9,700","5,572"
CACHUMA LAKE,"205,000","98,115"
PYRAMID,"180,000","165,981"
CASTAIC,"325,000","297,336"
LAKE PERRIS,"131,452","58,407"
